"","test_base.user_id","test_base.days_active","test_base.greater_than"
"214","ZJR3PO-MPK196-D4YQPC",3,"1"
"215","B3NMV2-H4AIU7-AKH70J",2,"0"
"216","AYSE1F-QNGVW3-2RBVT1",3,"1"
"217","BKCTOI-NY6A1X-MZARSC",3,"1"
"218","MR8KSI-DN2WEQ-YJ83PT",3,"1"
"219","POCSYF-OWLUZR-CFH753",4,"1"
"220","WQPMJ0-Y76U54-PBIUW0",4,"1"
"221","AX8WK1-8MAK04-K7SQV9",4,"1"
"222","C7J18H-ANE4ZR-I0MKN5",3,"1"
"223","83PRDY-VF12NC-1YKXVB",2,"0"
"224","0UNFMJ-Y2WAFX-QMWGZ8",2,"0"
"225","KGM2ZX-VF12Z4-UW6PZH",3,"1"
"226","ZNM9TB-EP13I0-35GP4E",5,"1"
"227","B3W1QV-NFGIDU-64QH5T",4,"1"
"228","U2H3BX-LO90GB-ZG5F8M",4,"1"
"229","ZUMYCO-XC4ZHO-Z7854D",5,"1"
"230","EQCJNM-596PHZ-LOT15C",3,"1"
"231","I5V6MJ-YMDK0P-O3SU1I",5,"1"
"232","HAYU01-O0P1UF-045LUI",2,"0"
"233","ECXABJ-TWXQ3K-Z2JL6H",3,"1"
"234","2XGAYV-DVE5QM-YU5PKN",3,"1"
"235","OSJBFN-KGV2IT-9Z7GDU",3,"1"
"236","4YUC5L-I6N5K3-8G93V2",5,"1"
"237","6C2VL9-NCQV7U-W457XD",3,"1"
"238","OIAW9Q-1ONEFC-5AWTG6",4,"1"
"239","W7DLQ1-3MJID8-NJOPYW",3,"1"
"240","XVZNHM-QL2BV5-UXH7TP",2,"0"
"241","GVRL06-U8TPXO-LXYPNJ",3,"0"
"242","AP9Z7G-7IK68U-GDYLM8",3,"1"
"243","C40X9R-40MF5E-VR1M9Z",4,"1"
"244","6OKSXH-K7THYD-FSVC9R",3,"1"
"245","FJ25O0-L1V89Q-OF2NZ6",4,"1"
"246","B39WVY-HL2EA0-0TF2RY",4,"1"
"247","N9T8EG-FQVO2M-VU9Q0T",4,"1"
"248","B925WG-LJCDQT-B6YADQ",5,"1"
"249","WA9EL1-3B6JD5-KPRCD3",3,"1"
"250","4B5WSP-3NTUIH-8IGO0E",3,"1"
"251","6BAWUP-R4TD7Q-X41Q5I",3,"1"
"252","O4E591-QCLV68-LMEASN",3,"1"
"253","D9JBUL-EWGLKX-NS9FV3",3,"1"
"254","4MK8FA-I1E2ZD-I9FO7E",3,"1"
"255","O46VDI-X9S5MW-U7XQKN",2,"0"
"256","65M09N-GTWP5Q-J72ZP5",5,"1"
"257","2XA5FJ-W5V9LP-HJVDR9",3,"1"
"258","3YVDQ2-S1YZXA-WREC7H",5,"1"
"259","TUF3KL-R0C2WO-KNMO5W",4,"1"
"260","2DGO40-AEXK27-SCHWXT",4,"1"
"261","XOJR32-SX9KGD-FXSG3M",2,"0"
"262","VSKAF3-1IU8M6-PIRM27",3,"1"
"263","UNT5I2-CUB3IO-ZJIB6V",5,"1"
"264","SQDMTH-95V21U-VGKLZ6",2,"0"
"265","D3RPCJ-8QXR3I-E4R1HB",3,"1"
"266","XKB9DF-NXBIJW-WY27O3",3,"1"
"267","9S38KU-ZET6LU-UMV5JF",3,"0"
"268","7KNS1T-DIJSCM-UZAFIE",3,"1"
"269","FZ13LC-FYV01N-5N8GK2",3,"1"
"270","0QZAFI-QX6F80-DQJ6YS",2,"1"
"271","7F10P5-NWJKBG-7EVBZC",4,"1"
"272","AH7962-ZM2OD3-LPX3SO",2,"0"
"273","GDN0OE-UTAQJB-510JOF",3,"1"
"274","YULXDE-EWO4FP-RHXQKZ",4,"1"
"275","V8A4W1-DNY6MT-06F9AL",4,"1"
"276","R7N9IX-5TO9XN-52QXL8",3,"1"
"277","GZ74XM-PFXEN7-Q6BWDJ",3,"0"
"278","B9SC6G-TN54KH-ESPX45",3,"1"
"279","TVUPEJ-XUN3GA-Q295YS",2,"0"
"280","0B7IN9-O96W17-S5P9ER",2,"1"
"281","PAVG13-JOC9RH-5OMDGK",2,"0"
"282","B3WZFG-QKPSNR-PK87T5",2,"1"
"283","23NZXY-EBIU18-VTAEZO",3,"1"
"284","X5VTS1-RXOP51-CGOIVW",3,"1"
"285","YAE1XS-D1L4OX-1E3ZCA",5,"1"
"286","9L384B-470FBR-5CYK16",3,"1"
"287","XQSJ4K-HBAX3Z-768BOR",3,"1"
"288","146ZAE-MQUFNA-6VSOHA",4,"1"
"289","3IMCY5-0UPT83-OE19HJ",2,"0"
"290","ZKGFHM-X5L76Q-80KOBR",3,"1"
"291","RJU3AH-SHPLMY-GHYLUW",3,"1"
"292","O4UI7B-8FGVYM-ZK73FB",2,"0"
"293","DALBGH-2YMIJO-N9MBDP",3,"1"
"294","WJ3I4K-169REQ-8M5UV0",2,"1"
"295","APMYG2-VH26KE-W0JCZM",3,"0"
"296","SUJ3MG-NZ5H7M-CMNKQ5",3,"1"
"297","N03AYU-RG8WPH-FEHRAZ",2,"0"
"298","YS5B28-S3GNHR-2X8EWQ",2,"0"
"299","CMRVLY-1YU6T7-WYGFDJ",4,"1"
"300","37TWOL-CTFKRW-VZPUB2",2,"0"
"301","AI18UD-61Y5EX-X0R8M4",2,"0"
"302","PTXH1V-HX613K-08ABTW",3,"1"
"303","JDCG2P-DX5WRS-TRPKO5",3,"1"
"304","JYIWT7-6V3ZAQ-326WBD",2,"0"
"305","V5ABTO-70X452-8NUYTQ",2,"0"
"306","ZWTU86-PQJ2CA-0PMZVU",4,"1"
"307","HPBRQK-WM483T-ZBI9MD",3,"1"
"308","UXZH87-510L2G-QJP9EB",3,"1"
"309","UB9YPK-ASZQ7J-P2DNKV",5,"1"
"310","VF61YL-MOYQWC-DFEOQ8",3,"1"
"311","BE649L-9CQWIS-R564BI",4,"1"
"312","1FYO85-8NK4YX-M3FYNK",3,"1"
"313","5J4VKD-JQB6I0-4G9FRO",4,"1"
"314","GDT6VS-OV7U13-ZWE0Q9",2,"1"
"315","J9CYBQ-YXGB2P-X1EVI0",4,"1"
"316","EMIGNW-GNZMFV-YDVAP2",4,"1"
"317","79HYEQ-LZIGWS-MS945J",4,"1"
"318","2JBR75-RI9V5F-C9WYGF",2,"0"
"319","JFVTY1-XIOKV5-ODFY9J",2,"0"
"320","SCXZ6H-V1RFAE-MX2PQF",4,"1"
"321","8EOVKI-RN0XA5-0C6OQU",3,"1"
"322","0RGN5T-ND54MO-MQ4SGV",3,"1"
"323","ZPC3BV-2XKMYJ-3E9WMO",4,"1"
"324","F3MR4K-RCI1FU-9QCXF5",3,"1"
"325","Y3VEKM-Q50OF1-OH02M4",3,"1"
"326","VJ65AU-S8G5XC-IH8QS1",5,"0"
"327","KCEOLF-XGQS76-75I4J8",2,"1"
"328","WC2M3O-VDP0M5-7HUCX9",3,"1"
"329","D2URAE-AEMRWN-AZV7FC",3,"1"
"330","RTVCX0-8FKICL-PSD4Z8",4,"1"
"331","V2WJLX-E1BT8G-6CXV7S",2,"0"
"332","ZLUHO4-M3E57I-1B25FV",1,"0"
"333","ZC83PB-9O043M-JDNKSH",3,"1"
"334","OV6U4T-1YTIDL-QO0UYL",2,"0"
"335","NLRIMU-F9ZDAO-C4W7NQ",2,"0"
"336","9CLBPY-UZBV4K-IAEM5W",5,"1"
"337","D8ZYT5-P06C9W-PRTM4F",4,"1"
"338","L78BS6-8RZ7XY-HQ93FM",3,"1"
"339","EMCKOS-4N01T7-5Y83S9",3,"1"
"340","7BTIU0-EIK09U-7HWMBD",2,"1"
"341","Y840CB-L1V7D4-EI8G36",2,"1"
"342","T20PC5-Q91CVR-UXNLYT",2,"0"
"343","78M9UG-CT53LA-4E3K9T",3,"1"
"344","Q0E8VT-1PYAQF-CUS50F",2,"0"
"345","IZ47X1-CZ8F7Q-HLX7WA",5,"1"
"346","7RFOJ9-Z0DITN-4A6DV0",3,"1"
"347","ETGHL2-KGDFIP-1OVNHP",4,"1"
"348","7PIVBU-ZYSVIP-Z7OMQC",3,"1"
"349","EY2KXV-EVFB3D-0AYX12",2,"0"
"350","Z19R03-AB7YEQ-QAZYWS",2,"0"
"351","637L91-LIS41B-CU4E7T",2,"0"
"352","2BDIZ7-T35VN1-TDU82E",3,"0"
"353","YS9KLM-K6RHYW-MD4JG2",3,"1"
"354","8WDXYG-R9FX3B-WVAI3H",2,"0"
"355","1HCW09-GKAEPV-PJ5Y08",5,"1"
"356","N2HC6F-M21SEX-AQVZ6X",4,"1"
"357","LK53QP-TORUHI-P35IBR",3,"1"
"358","0B827O-EA2LM0-S7JW5E",5,"1"
"359","B04SFX-4GROUV-P9OXZ2",2,"0"
"360","EWQ20V-Y1HUS4-Y8EVLK",3,"1"
"361","5R9PGT-40ELYM-QAC368",5,"1"
"362","J3CWVZ-U34T9H-RX8H3E",3,"1"
"363","8XDO29-HB67UW-KQ1BIA",2,"0"
"364","7OKXIZ-TVEKQN-PUJVRK",3,"0"
"365","8QSAB5-I2136P-VBUAF0",2,"0"
"366","DQ3Z1E-0JMONT-F5PZKO",3,"1"
"367","7T14LX-TCHK1I-WO8DZK",3,"1"
"368","REUTI3-SF0MXL-PWO0UN",3,"1"
"369","SIMWCT-WOE9JR-WHZ7LD",5,"1"
"370","ES20KW-ICPHZY-9OTMBJ",2,"0"
"371","1E8ZI4-8OMYDX-OEL03C",5,"1"
"372","HIOX4F-EQYCAG-GT8N94",2,"1"
"373","8C9T7E-97MXO8-HONF82",3,"1"
"374","YQRV8L-X2MF0E-JILW0U",4,"1"
"375","CKV4OP-IHEM6R-2LSW6C",2,"0"
"376","4SBPHN-H4L8AX-25ERLJ",4,"1"
"377","FE8KD1-DHEI0L-Z3YB2H",3,"1"
"378","EUFIOG-HKCB7I-ZWHY4U",3,"1"
"379","DCQEGB-FVGNJR-7RDQEB",2,"1"
"380","BO4Y3V-8JTRBA-QZDAG7",2,"0"
"381","CY9VRZ-5TIEPM-NUHEA7",3,"1"
"382","A5TLID-6NPWKM-DOY6C4",3,"0"
"383","7DM5AH-T1PZN4-DR0M7U",4,"1"
"384","F8E3US-GFREZA-U8A6JN",2,"1"
"385","KJR079-JBHNVT-BAJ7FQ",2,"0"
"386","IPN63M-N4CAWQ-JHMQ9L",5,"1"
"387","8IA3PJ-CXIU37-NZH6BE",4,"1"
"388","T46VOM-IF4NVD-Y9DCA2",4,"1"
"389","Z2EYUP-CUO7G2-6AT2MD",4,"1"
"390","GR7V06-E5R93B-MD0P8T",2,"0"
"391","EZJX6D-3D6RO1-S67HVJ",3,"1"
"392","T7UPKI-CTX1QE-K7W9MJ",4,"1"
"393","CSJHFO-NS7MOA-HXL9GJ",3,"1"
"394","C6WD8J-7L34JH-7LSEKC",2,"0"
"395","SO0CHZ-YG21MD-POQXLI",2,"0"
"396","457KDW-B8A6GE-RNVU6P",3,"1"
"397","L0PJ87-8X4F69-VY6O0Z",3,"1"
"398","VURZIH-8EG4YV-YLW53F",5,"0"
"399","ZDXLPK-735BVI-PU5Y0L",2,"0"
"400","EN65S7-58FX9M-ZJFQCA",3,"1"
"401","4UAXEN-G45RLB-5GEKUP",2,"0"
"402","39HK8X-05QCRD-OL5M8V",3,"1"
"403","Q2K860-UY1PR0-3SU67Z",3,"1"
"404","5AKQMW-T4ZBHG-8H0Q21",2,"0"
"405","9FXWK7-C1GNS4-1NTM5W",3,"1"
"406","FX7TBS-TDFM5Z-9Q58I0",3,"1"
"407","YT9K8Z-GMIRYC-WF9085",3,"1"
"408","HQF3IA-AY3CIF-F3V8GC",3,"1"
"409","9ZKERV-CERG0A-RNDFS8",3,"1"
"410","TBELPO-DXYNGH-GKCAZJ",4,"1"
"411","QL6FZD-RFKT8D-ZT3PL2",2,"1"
"412","EO32DI-YINT4Q-NOKTL5",3,"1"
"413","J652XW-OWYG2R-0YKH6J",4,"1"
"414","0XF876-FX30N8-RJGSC1",2,"1"
"415","3KTC6S-W5FOL3-M5TNU3",3,"1"
"416","73HUDG-GY5FRW-L4FDB6",2,"0"
"417","N2GFT8-VU6IDJ-CEA8JO",3,"1"
"418","OKMSE6-K3NPVM-AMRNFL",3,"1"
"419","DHBV4N-DX4A2Y-V5TBCU",5,"1"
"420","S71DZR-D1WL40-38UPHA",4,"1"
"421","7VWBKT-BY9MUT-7JNQBL",3,"0"
"422","BEUSM6-HM7W9A-M0RPV5",2,"1"
"423","KO2U7Y-M67GHP-BI73NM",2,"1"
"424","AYN16I-WB0D8G-L2KWN5",3,"1"
"425","RZWND1-NUPKBZ-UW1YV3",3,"1"
"426","0FWRJQ-LXB18I-NURWM2",2,"0"
"427","OZ3KXD-M2ODI9-MOTZY0",3,"0"
"428","RYGVHJ-LA2BUN-B7TJ5Q",5,"1"
"429","27DM14-HRJO65-49TI7F",4,"1"
"430","Q3F2PT-4786TK-8L2XH1",4,"1"
"431","GA3HFS-MSI2P1-KXC1VN",2,"0"
"432","PUSMWR-6389LC-HLV79B",3,"0"
"433","IQEVTC-X6CZLB-BCX3J1",3,"1"
"434","3WKETU-QODUGR-4B5Y8G",3,"1"
"435","DZ926V-Z1XDUV-CJ5UAI",5,"1"
"436","WSVROC-JG72PQ-P2Q3YW",3,"1"
"437","QM8N1G-V1CZ5Q-A2WKHJ",3,"1"
"438","RP62TZ-MIBPK1-01Z2XU",4,"1"
"439","VFKT24-3N8D90-5LFQP6",3,"1"
"440","NJSRGQ-DGHV6Y-BN5MA1",5,"1"
"441","T5481G-CZQ3HK-COL0US",3,"1"
"442","N56XSQ-TJ63FW-CSXEFA",2,"0"
"443","5M20LF-AK0WLQ-WC0NDK",6,"1"
"444","6P5NSV-9MOINB-9LRH7F",3,"1"
"445","SNJM60-AHPSG0-PFLUAD",2,"0"
"446","P5NX97-M53JRY-1PEJA6",3,"1"
"447","2A9XQ6-PIYFJZ-5LEI63",2,"0"
"448","XMD6WT-EXL6MF-2CXZ3S",5,"1"
"449","17ICU6-FSL97W-D4A6P3",3,"1"
"450","HYNG3Z-CG1KQT-5NKXFT",4,"1"
"451","152PHM-4X8FSP-IZW5NO",3,"1"
"452","EH8MSL-9W0V5N-FQTGHU",5,"1"
"453","PTM4K7-MAP92C-VI5M4H",3,"0"
"454","WIYJ8E-0ITDSZ-21W58H",2,"0"
"455","3W7UPO-3WMIH0-STOYPC",4,"1"
"456","DGOBZR-JN9QUV-0DY6PJ",5,"1"
"457","7PAW6M-WR49T3-I3NBRD",4,"1"
"458","29KZOW-H74R1Q-JN5WCA",5,"1"
"459","C2JQK3-8ERJ3D-A9FS5M",5,"1"
"460","BU0QZY-6SXI84-OSBM9Q",3,"1"
"461","0P5YQC-9JW4N8-M2VIU6",6,"1"
"462","9LHC0P-FWDNGY-2IEMS1",2,"0"
"463","H2ZLM7-68MZ4N-DPN7LG",3,"1"
"464","C67KUQ-O601AT-FOYBRG",4,"1"
"465","7OL9HZ-9LUX47-3OPLUR",4,"1"
"466","MZ7FGU-M3GRAP-CXTEN1",2,"1"
"467","52VDWU-IN2KTJ-YJUR23",5,"1"
"468","NGU7XO-KQXDUL-8EMT3I",3,"1"
"469","XTMWL0-MZ6E3S-QL2OD5",5,"1"
"470","XO3ZAJ-G37Q9J-SWOLAJ",4,"1"
"471","ZV9CUT-KZQSDH-QU7G5T",5,"1"
